,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
60,Upernavik,72.7868,-56.1549,-8.19,83,32,10.49,GL,1611975600
61,Margate,51.3813,1.3862,44.38,92,99,7.09,GB,1611975600
62,Bluff,-46.6,168.3333,54.27,72,34,15.1,NZ,1611975600
63,Guiratinga,-16.3494,-53.7583,72.57,85,86,2.86,BR,1611975600
64,Vardø,70.3705,31.1107,25.95,97,100,17.16,NO,1611975600
65,Matagami,49.7502,-77.6328,-6.97,87,95,4.92,CA,1611975600
66,Beidao,34.5686,105.8933,39.76,64,96,2.1,CN,1611975600
67,Maniitsoq,65.4167,-52.9,20.5,76,0,4.85,GL,1611975600
68,Hithadhoo,-0.6,73.0833,81.63,76,96,11.92,MV,1611975600
69,Hilo,19.7297,-155.09,72.16,74,78,5.99,US,1611975600
70,Nikolskoye,59.7035,30.7861,27.81,96,94,8.19,RU,1611975600
71,Saint-Augustin,51.226,-58.6502,14.38,91,14,11.77,CA,1611975600
72,Kananga,-5.8958,22.4178,69.44,93,97,2.08,CD,1611975600
73,Longyearbyen,78.2186,15.6401,-4.27,70,10,9.37,SJ,1611975600
74,Vaitape,-16.5167,-151.75,81.01,67,88,4.16,PF,1611975600
75,Yellowknife,62.456,-114.3525,-18.51,82,14,6.33,CA,1611975600
76,Adrar,20.5022,-10.0711,64.36,26,0,10.8,MR,1611975600
77,Saint-Philippe,-21.3585,55.7679,78.89,71,19,11.12,RE,1611975600
78,Forssa,60.8146,23.6215,19.09,94,100,11.81,FI,1611975600
79,Trairi,-3.2778,-39.2689,79.47,81,96,10.0,BR,1611975600
80,Asahikawa,43.7678,142.3703,24.51,92,87,5.26,JP,1611975600
81,Den Helder,52.9599,4.7593,36.59,83,90,16.06,NL,1611975600
82,La Tuque,47.4334,-72.7824,1.27,77,93,5.5,CA,1611975600
83,Araceli,10.5529,119.9913,79.65,77,54,31.41,PH,1611975600
84,Hasaki,35.7333,140.8333,43.83,40,10,23.67,JP,1611975600
85,Minbu,20.1833,94.8833,75.6,32,0,3.38,MM,1611975600
86,Carutapera,-1.195,-46.02,79.66,80,97,8.88,BR,1611975600
87,Mar del Plata,-38.0023,-57.5575,70.29,69,79,8.86,AR,1611975600
88,Nurota,40.5614,65.6886,46.62,37,88,9.19,UZ,1611975600
89,Port Lincoln,-34.7333,135.8667,67.42,58,51,13.15,AU,1611975600
90,Nicoya,10.1483,-85.452,76.75,65,35,13.82,CR,1611975600
91,Kamina,-8.7386,24.9906,63.43,97,67,2.08,CD,1611975600
92,George Town,5.4112,100.3354,80.65,74,12,6.2,MY,1611975600
93,Constitución,-35.3333,-72.4167,61.45,94,100,8.1,CL,1611975600
94,Norman Wells,65.282,-126.8329,-24.83,78,30,4.52,CA,1611975600
95,Mossamedes,-15.1961,12.1522,73.29,76,76,8.57,AO,1611975600
96,Esperance,-33.8667,121.9,71.22,52,0,12.03,AU,1611975600
97,Salalah,17.0151,54.0924,66.47,69,20,4.9,OM,1611975600
98,Punta Arenas,-53.15,-70.9167,45.64,81,91,9.62,CL,1611975600
99,Vitim,59.4511,112.5578,-37.7,77,51,4.0,RU,1611975600
100,Ambon City,-3.6954,128.1814,86.61,67,54,13.11,ID,1611975600
101,Pierre,44.3683,-100.351,29.73,92,95,13.09,US,1611975600
102,Gemena,3.25,19.7667,75.13,75,99,0.74,CD,1611975600
103,Aykhal,66.0,111.5,-36.2,80,96,7.78,RU,1611975600
104,Mäntsälä,60.6609,25.2838,20.71,88,100,11.74,FI,1611975600
105,Kodinsk,58.6881,99.1844,-31.34,79,97,7.85,RU,1611975600
106,Saint George,37.1041,-113.5841,41.49,78,86,2.15,US,1611975600
107,Bredasdorp,-34.5322,20.0403,67.71,77,77,4.03,ZA,1611975600
108,Stephenville,32.2207,-98.2023,55.87,71,49,19.3,US,1611975600
109,Gaoual,11.75,-13.2,68.23,53,0,1.79,GN,1611975600
110,Clyde River,70.4692,-68.5914,-16.67,78,1,1.39,CA,1611975600
111,Thompson,55.7435,-97.8558,11.3,91,95,6.98,CA,1611975600
112,Betioky,-23.7167,44.3833,74.39,83,13,2.53,MG,1611975600
113,Mogadishu,2.0371,45.3438,74.39,82,38,17.9,SO,1611975600
114,Shelburne,44.0787,-80.2041,7.52,94,73,2.48,CA,1611975600
115,La Ronge,55.1001,-105.2842,5.54,90,85,3.18,CA,1611975600
116,Lorengau,-2.0226,147.2712,85.1,74,100,10.69,PG,1611975600
117,Chabahar,25.2919,60.643,65.89,57,1,5.21,IR,1611975600
118,Tongren,27.7172,109.1853,46.44,76,100,0.72,CN,1611975600
119,São João da Barra,-21.6403,-41.0511,78.03,80,18,21.81,BR,1611975600
120,Bethel,41.3712,-73.414,13.66,65,1,12.37,US,1611975600
121,Pitimbu,-7.4706,-34.8086,79.68,79,77,11.14,BR,1611975600
122,Pangody,65.85,74.4859,-42.88,81,20,1.54,RU,1611975600
123,Luoyang,34.6836,112.4536,52.0,47,98,10.85,CN,1611975600
124,Cidreira,-30.1811,-50.2056,75.67,89,51,4.92,BR,1611975600
125,Chokurdakh,70.6333,147.9167,-26.59,85,100,8.84,RU,1611975600
126,Oriximiná,-1.7656,-55.8661,75.6,92,91,2.68,BR,1611975600
127,Tasiilaq,65.6145,-37.6368,12.13,72,95,7.92,GL,1611975600
128,Ilulissat,69.2167,-51.1,-2.97,65,0,2.01,GL,1611975600
129,Atuona,-9.8,-139.0333,78.6,78,8,17.34,PF,1611975600
130,Fairbanks,64.8378,-147.7164,-0.63,84,49,3.06,US,1611975600
131,Khovd,48.0056,91.6419,14.23,76,100,1.01,MN,1611975600
132,Narsaq,60.9167,-46.05,37.92,58,86,11.41,GL,1611975600
133,Ugoofaaru,5.6667,73.0,80.94,68,0,10.92,MV,1611975600
134,Severo-Kuril'sk,50.6789,156.125,24.76,90,99,16.06,RU,1611975600
135,Geraldton,-28.7667,114.6,91.98,28,0,12.88,AU,1611975600
136,Whitecourt,54.1502,-115.6855,8.37,85,1,2.39,CA,1611975600
137,Ponta do Sol,32.6667,-17.1,61.86,74,39,3.47,PT,1611975600
138,Port-Cartier,50.0334,-66.8654,5.23,75,5,10.07,CA,1611975600
139,Bengkulu,-3.8004,102.2655,84.69,74,100,2.35,ID,1611975600
140,Buraidah,26.326,43.975,54.18,51,0,7.83,SA,1611975600
141,Oudtshoorn,-33.5907,22.2014,60.39,80,17,1.12,ZA,1611975600
142,Teknāf,20.8624,92.3058,72.03,47,2,4.05,BD,1611975600
143,Martapura,-3.4167,114.85,77.43,91,69,1.34,ID,1611975600
144,Sitka,57.0531,-135.33,35.46,71,95,9.62,US,1611975600
145,Itoman,26.1247,127.6694,61.32,52,19,13.13,JP,1611975600
146,Belmonte,-15.8631,-38.8828,77.29,80,42,6.96,BR,1611975600
147,Verkhnevilyuysk,63.4453,120.3167,-42.29,78,97,2.21,RU,1611975600
148,Laas,46.6166,10.7002,31.15,88,68,6.85,IT,1611975600
149,Torbay,47.6666,-52.7314,27.81,95,95,24.09,CA,1611975600
150,Zhigansk,66.7697,123.3711,-42.92,79,93,3.2,RU,1611975600
151,Okhotsk,59.3833,143.3,-6.56,84,0,10.96,RU,1611975600
152,Provideniya,64.3833,-173.3,-6.57,81,41,3.69,RU,1611975600
153,Alyangula,-13.8483,136.4192,86.74,67,39,8.37,AU,1611975600
154,Black River,18.0264,-77.8487,73.76,84,44,9.86,JM,1611975600
155,Loei,17.4167,101.5,66.34,76,69,4.29,TH,1611975600
156,Broken Hill,-31.95,141.4333,82.26,41,0,16.26,AU,1611975600
157,Conde,-7.2597,-34.9075,78.57,81,84,9.6,BR,1611975600
158,Guerrero Negro,27.9769,-114.0611,62.73,71,3,15.5,MX,1611975600
159,Cayenne,4.9333,-52.3333,78.06,91,87,13.31,GF,1611975600
160,Lüderitz,-26.6481,15.1594,66.97,48,0,22.37,NA,1611975600
161,Boa Vista,2.8197,-60.6733,81.95,61,28,8.61,BR,1611975600
162,Alzamay,55.5562,98.6644,-7.06,90,100,5.12,RU,1611975600
163,Cambará,-23.0464,-50.0736,69.31,95,100,2.86,BR,1611975600
164,Sauce,-34.6469,-56.0628,71.06,68,0,7.9,UY,1611975600
165,Cherëmukhovo,60.3484,59.9851,-12.59,88,100,7.0,RU,1611975600
166,Ulvik,60.5672,6.9187,21.38,90,67,1.61,NO,1611975600
167,Lékoni,-1.5843,14.2591,74.14,83,100,7.2,GA,1611975600
168,Jinji,23.2281,110.8261,68.63,50,0,4.41,CN,1611975600
169,Douglas,41.3,-96.167,34.05,87,49,10.98,US,1611975600
170,Bileća,42.8719,18.4297,42.66,79,59,7.99,BA,1611975600
171,Cherskiy,68.75,161.3,-33.41,83,15,2.84,RU,1611975600
172,Barcelona,41.3888,2.159,55.44,85,40,4.52,ES,1611975600
173,Morondava,-20.2833,44.2833,80.44,82,66,6.55,MG,1611975600
174,São Filipe,14.8961,-24.4956,74.95,55,92,9.78,CV,1611975600
175,Labuhan,-6.8844,112.2051,79.27,86,100,16.6,ID,1611975600
176,Hay River,60.8156,-115.7999,-12.64,82,9,2.42,CA,1611975600
177,Dukat,62.55,155.55,-29.74,82,100,4.88,RU,1611975600
178,San Cristobal,7.7669,-72.225,65.34,78,51,1.48,VE,1611975600
179,Kavaratti,10.5669,72.642,80.24,73,8,11.7,IN,1611975600
180,Luang Prabang,19.8856,102.1347,67.33,79,94,1.23,LA,1611975600
181,Vilhena,-12.7406,-60.1458,70.36,94,97,4.27,BR,1611975600
182,Sint-Pieters-Leeuw,50.7896,4.2475,44.47,93,79,5.99,BE,1611975600
183,Brae,60.3964,-1.353,37.27,78,53,16.51,GB,1611975600
184,Rybinsk,58.0446,38.8426,25.38,97,91,10.16,RU,1611975600
185,Livingston,55.9029,-3.5226,34.32,92,93,9.17,GB,1611975600
186,Lavrentiya,65.5833,-171.0,-17.07,81,0,9.95,RU,1611975600
187,Nantucket,41.2835,-70.0995,27.9,83,95,29.91,US,1611975600
188,Olafsvik,64.8945,-23.7142,30.6,97,100,18.41,IS,1611975600
189,Kruisfontein,-34.0033,24.7314,57.25,86,4,3.8,ZA,1611975600
190,Falam,22.9167,93.6833,61.66,44,0,3.6,MM,1611975600
191,Amuntai,-2.4177,115.2494,81.3,82,100,1.81,ID,1611975600
192,Waddān,29.1614,16.139,55.54,48,0,5.23,LY,1611975600
193,Port Elizabeth,-33.918,25.5701,62.06,83,0,6.35,ZA,1611975600
194,Sola,-13.8833,167.55,84.31,79,87,9.8,VU,1611975600
195,Latung,5.5,120.8833,82.02,76,85,8.43,PH,1611975600
196,Nelson Bay,-32.7167,152.15,78.08,73,69,18.86,AU,1611975600
197,Naval,11.5606,124.3975,79.02,80,100,18.19,PH,1611975600
198,Neiafu,-18.65,-173.9833,80.65,85,95,12.59,TO,1611975600
199,Cap Malheureux,-19.9842,57.6142,80.98,80,0,13.38,MU,1611975600
200,Boende,-0.2167,20.8667,73.96,88,92,1.32,CD,1611975600
201,Isla Vista,34.4133,-119.861,49.35,75,41,3.11,US,1611975600
202,Vanimo,-2.6741,141.3028,84.36,74,100,11.36,PG,1611975600
203,Spearfish,44.4908,-103.8594,44.33,44,20,17.65,US,1611975600
204,Correntina,-13.3433,-44.6367,74.19,59,37,2.42,BR,1611975600
205,Tiksi,71.6872,128.8694,-30.55,85,100,5.21,RU,1611975600
206,Airai,-8.9266,125.4092,63.9,100,100,4.07,TL,1611975600
207,Kurunegala,7.4863,80.3623,78.96,83,45,4.63,LK,1611975600
208,Northam,51.0333,-4.2167,47.07,94,100,21.83,GB,1611975600
209,Ozinki,51.1786,49.6769,20.7,96,65,5.41,RU,1611975600
210,Kumul,42.8,93.45,26.47,82,0,1.86,CN,1611975600
211,Vostok,46.4856,135.8833,-5.39,88,100,4.09,RU,1611975600
212,Kudahuvadhoo,2.6708,72.8944,80.82,80,11,14.94,MV,1611975600
213,Lebu,-37.6167,-73.65,57.38,90,96,6.06,CL,1611975600
214,Bulgan,48.8125,103.5347,16.18,88,27,6.58,MN,1611975600
215,Sawtell,-30.3833,153.1,77.79,74,69,9.69,AU,1611975600
216,Calvinia,-31.4707,19.776,54.75,72,0,3.56,ZA,1611975600
217,Castro,-24.7911,-50.0119,65.07,95,97,3.65,BR,1611975600
218,Baharly,38.4362,57.4316,53.78,40,96,4.7,TM,1611975600
219,Naze,28.3667,129.4833,56.21,58,11,11.41,JP,1611975600
220,Rāmgarh,23.6333,85.5167,57.54,65,0,8.55,IN,1611975600
221,Ahipara,-35.1667,173.1667,67.82,66,41,3.94,NZ,1611975600
222,Puqi,29.7167,113.8833,50.9,63,100,1.45,CN,1611975600
223,Shimoda,34.6667,138.95,45.88,50,20,11.07,JP,1611975600
224,Talnakh,69.4865,88.3972,-30.95,65,0,4.0,RU,1611975600
225,Duluth,46.7833,-92.1066,23.25,81,95,10.07,US,1611975600
226,Mumford,5.2618,-0.759,78.78,84,81,9.93,GH,1611975600
227,Karratha,-20.7377,116.8463,92.16,54,27,7.94,AU,1611975600
228,Santa Rosa,14.3122,121.1114,79.29,62,40,18.66,PH,1611975600
229,George Town,5.4112,100.3354,80.65,73,11,6.31,MY,1611975600
230,Tamale,9.4008,-0.8393,78.06,18,11,3.96,GH,1611975600
231,Mikhaylovka,50.06,43.2379,34.05,91,100,21.45,RU,1611975600
232,Kainantu,-6.2887,145.8655,72.75,70,94,3.31,PG,1611975600
233,Necochea,-38.5473,-58.7368,65.89,77,75,14.32,AR,1611975600
234,Saint Paul Harbor,57.79,-152.4072,34.23,78,45,16.17,US,1611975600
235,Corning,42.1428,-77.0547,13.26,73,85,7.49,US,1611975600
236,Nānākuli,21.3906,-158.1547,76.39,61,48,17.58,US,1611975600
237,Harar,9.3094,42.1258,50.7,74,2,1.19,ET,1611975600
238,Kenai,60.5544,-151.2583,23.76,81,41,6.67,US,1611975600
239,Lompoc,34.6391,-120.4579,47.79,79,46,2.04,US,1611975600
240,Ormara,25.2088,64.6357,65.39,43,0,3.36,PK,1611975600
241,Caxito,-8.5785,13.6643,76.89,87,59,1.61,AO,1611975600
242,Leningradskiy,69.3833,178.4167,-22.5,85,99,8.3,RU,1611975600
243,Iralaya,15.0,-83.2333,78.4,80,24,10.78,HN,1611975600
244,Calamar,10.2511,-74.9146,77.05,78,44,6.29,CO,1611975600
245,Slave Lake,55.2834,-114.769,7.65,85,1,6.42,CA,1611975600
246,Mahébourg,-20.4081,57.7,80.01,81,24,10.4,MU,1611975600
247,Nuuk,64.1835,-51.7216,24.03,86,0,6.69,GL,1611975600
248,Bambous Virieux,-20.3428,57.7575,80.08,81,25,10.07,MU,1611975600
249,Kavieng,-2.5744,150.7967,84.31,77,97,14.52,PG,1611975600
250,Laguna,38.421,-121.4238,48.97,75,22,2.39,US,1611975600
251,Roxana,10.2753,-83.7513,68.04,75,46,3.44,CR,1611975600
252,Dhidhdhoo,6.8833,73.1,80.73,68,3,7.85,MV,1611975600
253,Barra de Tecoanapa,16.5167,-98.75,79.3,70,94,3.27,MX,1611975600
254,Whitehorse,60.7161,-135.0538,2.25,84,87,2.93,CA,1611975600
255,Yumen,40.2833,97.2,26.62,71,0,21.23,CN,1611975600
256,Dunedin,-45.8742,170.5036,55.98,71,34,8.52,NZ,1611975600
257,Samarai,-10.6167,150.6667,84.43,72,93,7.11,PG,1611975600
258,La Providencia,28.7167,-111.5833,62.04,62,9,5.44,MX,1611975600
259,Znamenskoye,57.1281,73.8282,-4.38,89,100,7.47,RU,1611975600
260,Baeza,37.9938,-3.471,51.93,54,42,1.74,ES,1611975600
261,Araouane,18.9048,-3.5265,66.63,23,0,10.98,ML,1611975600
262,Najrān,17.4924,44.1277,57.2,41,6,2.84,SA,1611975600
263,Pisco,-13.7,-76.2167,70.27,76,40,1.34,PE,1611975600
264,Tigil',57.8,158.6667,-2.38,91,99,8.63,RU,1611975600
265,North Bend,43.4065,-124.2243,44.46,84,95,13.2,US,1611975600
266,Townsville,-19.25,146.8,86.14,59,64,9.44,AU,1611975600
267,Baykit,61.67,96.37,-38.56,75,94,4.36,RU,1611975600
268,Aklavik,68.2191,-135.0107,-32.48,79,84,1.14,CA,1611975600
269,Hualmay,-11.0964,-77.6139,71.19,77,46,7.67,PE,1611975600
270,Fortuna,40.5982,-124.1573,47.25,77,86,7.87,US,1611975600
271,Laichow,37.1717,119.9214,43.34,68,0,0.98,CN,1611975600
272,Kasane,-17.8167,25.15,66.99,97,99,3.15,BW,1611975600
273,Rocha,-34.4833,-54.3333,67.93,83,31,3.65,UY,1611975600
274,Pozo Colorado,-23.4923,-58.7972,79.65,76,89,9.06,PY,1611975600
275,Lata,40.1629,-8.3327,55.38,93,100,10.4,PT,1611975600
276,Corinth,37.9407,22.9573,50.29,74,87,4.23,GR,1611975600
277,Sindor,62.8629,51.8905,18.32,96,100,11.43,RU,1611975600
278,Port-Gentil,-0.7193,8.7815,80.38,82,100,12.01,GA,1611975600
279,Kamenka,51.3223,42.7678,33.39,95,97,24.74,RU,1611975600
280,Iqaluit,63.7506,-68.5145,-8.05,79,1,16.53,CA,1611975600
281,Alofi,-19.0595,-169.9187,79.09,85,100,13.76,NU,1611975600
282,Villazón,-22.0866,-65.5942,54.72,54,39,10.51,BO,1611975600
283,Måløy,61.9353,5.1136,33.78,89,85,22.48,NO,1611975600
284,Flinders,-34.5833,150.8552,77.63,84,91,7.7,AU,1611975600
285,Haines Junction,60.7522,-137.5108,1.69,83,100,1.52,CA,1611975600
286,Kununurra,-15.7667,128.7333,88.11,72,86,14.83,AU,1611975600
287,Hofn,64.2539,-15.2082,31.17,84,58,5.73,IS,1611975600
288,Vila Velha,-20.3297,-40.2925,77.5,80,16,8.43,BR,1611975600
289,Zakamensk,50.3741,103.2863,11.91,87,62,2.62,RU,1611975600
290,Lakatoro,-16.0999,167.4164,83.01,75,87,13.73,VU,1611975600
291,Kūhdasht,33.535,47.6061,42.69,89,71,6.93,IR,1611975600
292,Zapolyarnyy,69.4154,30.8136,9.09,90,100,6.24,RU,1611975600
293,Mirny,62.5353,113.9611,-44.09,77,80,3.2,RU,1611975600
294,Cururupu,-1.8283,-44.8683,77.61,85,94,4.05,BR,1611975600
295,Morón,-34.6534,-58.6198,77.81,63,18,4.59,AR,1611975600
296,Goderich,43.7501,-81.7165,25.97,78,100,14.56,CA,1611975600
297,Tatvan,38.5067,42.2817,26.11,95,99,6.76,TR,1611975600
298,Ust-Nera,64.5667,143.2,-15.12,80,100,3.49,RU,1611975600
299,Port Macquarie,-31.4333,152.9167,79.34,74,91,12.97,AU,1611975600
300,Dandong,40.1292,124.3947,20.03,92,40,9.44,CN,1611975600
301,Jiayuguan City,39.8167,98.3,24.8,67,0,1.61,CN,1611975600
302,Cabo San Lucas,22.8909,-109.9124,71.91,71,21,9.57,MX,1611975600
303,Maputo,-25.9653,32.5892,75.61,93,40,4.76,MZ,1611975600
304,Mitú,1.1983,-70.1733,77.11,80,73,1.9,CO,1611975600
305,Calabozo,8.9242,-67.4293,81.32,49,74,8.72,VE,1611975600
306,Caborca,30.5838,-111.101,58.42,60,6,19.17,MX,1611975600
307,Rutul,41.5357,47.4239,36.5,82,95,5.06,RU,1611975600
308,Mount Gambier,-37.8333,140.7667,65.1,66,95,7.81,AU,1611975600
309,Bulanash,57.2783,61.9965,9.75,95,94,7.52,RU,1611975600
310,Rock Sound,24.9,-76.2,68.52,69,87,15.46,BS,1611975600
311,Ciudad Mante,22.7333,-98.9667,70.11,72,63,5.61,MX,1611975600
312,Vila,42.0304,-8.1588,45.97,98,98,11.41,PT,1611975600
313,Inuvik,68.3499,-133.7218,-30.73,75,38,1.45,CA,1611975600
314,Subirana,15.2,-87.45,67.44,84,82,2.26,HN,1611975600
315,Loncoche,-39.3667,-72.6333,56.7,78,59,0.6,CL,1611975600
316,Waipawa,-41.4122,175.5153,59.92,58,24,11.23,NZ,1611975600
317,Pacific Grove,36.6177,-121.9166,50.29,70,32,3.18,US,1611975600
318,Mountain Home,43.133,-115.6912,36.66,83,80,9.06,US,1611975600
319,Nome,64.5011,-165.4064,-8.9,72,20,6.22,US,1611975600
320,Tamandaré,-8.7597,-35.1047,77.7,84,100,9.73,BR,1611975600
321,Zaraza,9.3503,-65.3245,74.75,75,62,8.72,VE,1611975600
322,Nhulunbuy,-12.2333,136.7667,88.81,65,22,12.5,AU,1611975600
323,Beringovskiy,63.05,179.3167,-16.17,83,4,9.37,RU,1611975600
324,Shitanjing,39.2342,106.3439,28.06,74,0,20.4,CN,1611975600
325,Portland,45.5234,-122.6762,43.74,75,87,5.48,US,1611975600
326,Jarosław,50.0162,22.6778,28.81,96,99,5.55,PL,1611975600
327,Sidi Ali,36.0998,0.4206,56.3,80,1,8.01,DZ,1611975600
328,Keetmanshoop,-26.5833,18.1333,76.5,19,1,3.42,NA,1611975600
329,Tiarei,-17.5333,-149.3333,83.73,60,75,5.26,PF,1611975600
330,Ulfborg,56.2673,8.3217,28.04,88,42,3.98,DK,1611975600
331,Nosy Varika,-20.5833,48.5333,76.44,85,49,3.87,MG,1611975600
332,Port Hedland,-20.3167,118.5667,92.44,52,75,5.23,AU,1611975600
333,Huarmey,-10.0681,-78.1522,71.35,77,60,7.0,PE,1611975600
334,Peleduy,59.6289,112.7406,-38.49,76,58,4.23,RU,1611975600
335,Hamilton,39.1834,-84.5333,26.56,78,1,3.47,US,1611975600
336,Maracaçumé,-2.0428,-45.9592,74.98,90,99,3.89,BR,1611975600
337,Biryukove,47.9563,39.7384,35.64,89,69,20.07,UA,1611975600
338,Atambua,-9.1061,124.8925,78.49,86,100,10.74,ID,1611975600
339,West Plains,36.7281,-91.8524,36.91,74,39,9.78,US,1611975600
340,Frome,51.2283,-2.3221,43.2,93,100,14.25,GB,1611975600
341,Anchorage,61.2181,-149.9003,19.02,84,94,6.26,US,1611975600
342,Krasnosel'kup,65.7,82.4667,-34.58,79,14,2.42,RU,1611975600
343,Danielskuil,-28.1887,23.5395,66.34,45,78,6.15,ZA,1611975600
344,Shanghai,31.2222,121.4581,50.97,57,0,4.54,CN,1611975600
345,Torgau,51.5667,13.0,38.14,94,95,14.5,DE,1611975600
346,Gizo Government Station,-8.103,156.8419,86.81,73,57,14.47,SB,1611975600
347,Saint Anthony,45.0205,-93.218,22.32,78,49,11.59,US,1611975600
348,Cabedelo,-6.9811,-34.8339,79.61,79,73,11.68,BR,1611975600
349,Oskarshamn,57.2645,16.4484,20.34,94,100,9.06,SE,1611975600
350,Bilma,18.6853,12.9164,59.56,30,23,7.36,NE,1611975600
351,Suileng,47.25,127.0833,-7.71,87,48,7.7,CN,1611975600
352,Neryungri,56.6709,124.6491,-33.72,78,100,2.35,RU,1611975600
353,Tawang Town,27.5833,91.8667,37.9,62,0,2.44,IN,1611975600
354,Gafanha da Encarnação,40.6181,-8.733,57.16,91,84,13.65,PT,1611975600
355,Şabyā,17.1495,42.6254,74.98,82,30,3.65,SA,1611975600
356,Preobrazheniye,42.9019,133.9064,20.07,76,54,12.28,RU,1611975600
357,Lima,-12.0432,-77.0282,72.91,72,49,5.91,PE,1611975600
